ID;Diện tích;Khoảng giá;Số phòng ngủ;Số phòng tắm, vệ sinh;Pháp lý;Nội thất;Ngày hết hạn;Mặt tiền;Gần bệnh viện;Gần chợ;Gần trường học;Cao tầng;Quy hoạch;Phường;Quận;Giá m2
1809;117,0;16,0;2;2;Sổ riêng;Không rõ;13/03/2026;1;0;0;0;1;0;Phường Tân Quy;Quận 7;0,136752
1810;66,5;11,5;4;4;Sổ riêng;Full nội thất;11-03-26;1;0;1;0;1;0;Phường Tân Quy;Quận 7;0,172932
1811;72,0;11,0;1;1;Sổ riêng;Full nội thất;09-03-26;1;0;1;1;0;0;Phường Tân Quy;Quận 7;0,152778
1812;120,0;17,5;1;1;Sổ riêng;Full nội thất;11-03-26;0;0;0;0;0;0;Phường Tân Quy;Quận 7;0,145833
1813;100,0;16,0;4;4;Sổ riêng;Full nội thất;08-03-26;1;1;1;1;1;0;Phường Tân Phú;Quận 7;0,16
1814;84,0;12,5;4;4;Sổ riêng;Full nội thất;08-03-26;1;0;1;1;1;0;Phường Tân Quy;Quận 7;0,14881
1815;72,0;19,0;4;5;Sổ riêng;Full nội thất;08-03-26;0;0;0;1;1;1;Phường Tân Phong;Quận 7;0,263889
1816;43,0;4,5;3;2;Sổ riêng;Không rõ;19/03/2026;1;0;1;0;1;0;Phường Phú Thọ Hòa;Tân Phú;0,104651
1817;94,0;20,9;11;10;Không rõ;Không nội thất;19/03/2026;0;1;0;0;1;0;Phường 14;Quận 1;0,22234
1818;64,0;12,5;1;1;Sổ riêng;Full nội thất;10-03-26;0;0;0;0;1;0;Phường An Khánh;Thủ Đức;0,195312
1819;133,8;8,5;3;3;Hợp đồng mua bán;Nội thất cơ bản;06-03-26;0;0;0;1;1;0;Phường 6;Quận 6;0,063528
1820;36,0;8,3;3;3;Sổ riêng;Full nội thất;19/03/2026;1;0;0;0;1;1;Phường 4;Quận 3;0,230556
1821;59,0;3,86;2;2;Hợp đồng mua bán;Nội thất cơ bản;19/03/2026;0;0;0;0;0;0;Phường Long Bình;Thủ Đức;0,065424
1822;41,2;8,7;4;4;Sổ riêng;Full nội thất;16/03/2026;0;0;0;0;1;0;Phường 26;Bình Thạnh;0,211165
1823;250,0;23,88;5;6;Không rõ;Không rõ;19/03/2026;0;0;0;0;1;0;Phường Tân Sơn Nhì;Tân Phú;0,09552
1824;54,0;3,15;4;3;Sổ riêng;Full nội thất;19/03/2026;0;1;0;1;1;0;Phường 14;Quận 3;0,058333
1825;90,0;13,5;4;6;Sổ riêng;Full nội thất;19/03/2026;1;0;1;1;1;0;Phường Tân Thuận Tây;Quận 7;0,15
1826;40,0;4,75;3;2;Sổ riêng;Full nội thất;19/03/2026;1;0;0;0;1;0;Phường 13;Gò Vấp;0,11875
1827;51,1;3,9;3;3;Không rõ;Không rõ;19/03/2026;0;0;1;0;1;0;Phường Tam Bình;Thủ Đức;0,076321
1828;64,0;15,4;5;4;Sổ riêng;Full nội thất;19/03/2026;0;0;0;0;1;1;Phường 13;Bình Thạnh;0,240625
1829;96,0;3,6;2;2;Sổ riêng;Full nội thất;14/03/2026;0;0;0;0;1;0;Xã Phước Kiển;Nhà Bè;0,0375
1830;54,0;7,5;3;3;Sổ riêng;Full nội thất;19/03/2026;0;1;1;1;1;0;Phường 12;Gò Vấp;0,138889
1831;55,0;6,8;2;2;Sổ riêng;Không rõ;19/03/2026;0;0;1;1;1;0;Phường 4;Quận 8;0,123636
1832;195,0;23,0;4;3;Sổ riêng;Full nội thất;07-03-26;0;0;0;0;0;0;Phường Phú Hữu;Thủ Đức;0,117949
1833;64,0;6,5;3;2;Sổ riêng;Không rõ;19/03/2026;1;0;0;0;1;0;Phường 1;Quận 8;0,101562
1834;83,0;5,6;2;2;Sổ riêng;Không rõ;07-03-26;0;0;1;1;0;0;Phường 10;Gò Vấp;0,06747
1835;160,0;115,0;4;4;Không rõ;Không rõ;10-03-26;1;0;0;0;1;0;Phường Nguyễn Thái Bình;Quận 1;0,71875
1836;59,1;3,28;3;3;Không rõ;Không rõ;19/03/2026;0;0;1;0;1;0;Phường Thới An;Quận 1;0,055499
1837;62,4;6,7;3;3;Sổ riêng;Không rõ;19/03/2026;0;0;0;1;1;0;Phường Phước Long B;Thủ Đức;0,107372
1838;69,0;4,7;2;2;Sổ riêng;Full nội thất;13/03/2026;0;1;0;0;1;0;Phường Phú Thuận;Quận 7;0,068116
1839;68,0;6,5;5;2;Sổ riêng;Không rõ;19/03/2026;1;0;0;0;0;0;Phường Linh Trung;Thủ Đức;0,095588
1840;50,0;5,9;4;3;Sổ riêng;Full nội thất;19/03/2026;0;0;0;0;0;0;Phường 6;Gò Vấp;0,118
1841;50,0;7,0;2;2;Sổ riêng;Không rõ;13/03/2026;1;0;0;0;1;0;Phường 1;Bình Thạnh;0,14
1842;400,0;56,0;4;2;Sổ riêng;Không rõ;11-03-26;0;0;1;0;0;0;Phường Bình Trị Đông B;Bình Tân;0,14
1843;58,0;7,5;3;3;Sổ riêng;Nội thất cơ bản;13/03/2026;0;0;0;0;1;0;Phường 15;Bình Thạnh;0,12931
1844;45,0;9,2;5;5;Sổ riêng;Full nội thất;13/03/2026;0;0;0;0;1;0;Phường 12;Bình Thạnh;0,204444
1845;137,0;6,8;3;2;Sổ riêng;Không rõ;19/03/2026;1;0;1;1;0;0;Phường Thạnh Lộc;Quận 1;0,049635
1846;96,0;7,89;4;5;Sổ riêng;Nội thất cơ bản;19/03/2026;1;1;1;1;1;0;Phường Bình Trị Đông;Bình Tân;0,082188
1847;45,0;9,8;2;3;Sổ riêng;Full nội thất;13/03/2026;1;0;0;1;1;0;Phường 25;Bình Thạnh;0,217778
1848;95,0;33,0;4;3;Sổ riêng;Không nội thất;14/03/2026;1;0;0;0;1;0;Phường An Phú;Thủ Đức;0,347368
1849;52,0;4,95;4;3;Sổ riêng;Không rõ;19/03/2026;0;0;0;0;1;0;Phường Long Trường;Thủ Đức;0,095192
1850;65,0;6,39;4;5;Sổ riêng;Nội thất cơ bản;19/03/2026;1;0;0;0;1;0;Phường 16;Quận 8;0,098308
1851;52,0;4,9;2;1;Sổ riêng;Không rõ;19/03/2026;0;1;1;1;0;0;Phường Linh Đông;Thủ Đức;0,094231
1852;52,0;4,5;2;1;Không rõ;Không rõ;19/03/2026;1;1;1;1;0;0;Phường Đông Hưng Thuận;Quận 1;0,086538
1853;72,0;7,4;4;5;Sổ riêng;Full nội thất;19/03/2026;0;0;0;1;1;0;Phường Trung Mỹ Tây;Quận 1;0,102778
1854;85,0;26,9;4;3;Sổ riêng;Nội thất cơ bản;10-03-26;1;1;1;0;1;0;Phường 5;Quận 5;0,316471
1855;60,0;22,3;4;4;Sổ riêng;Nội thất cơ bản;19/03/2026;0;0;0;0;1;0;Phường 12;Quận 1;0,371667
1856;126,0;21,0;3;2;Sổ riêng;Không rõ;21/03/2026;0;1;1;0;0;0;Phường Tân Phong;Quận 7;0,166667
1857;129,0;13,5;3;2;Sổ riêng;Nội thất cơ bản;19/03/2026;1;0;0;0;1;0;Phường Đông Hưng Thuận;Quận 1;0,104651
1858;61,0;5,2;3;2;Sổ riêng;Nội thất cơ bản;19/03/2026;1;0;0;0;1;0;Phường Trung Mỹ Tây;Quận 1;0,085246
1859;51,0;3,18;2;1;Sổ riêng;Không rõ;10-03-26;0;0;0;0;0;0;Phường Bình Chiểu;Thủ Đức;0,062353
1860;47,0;5,4;3;2;Sổ riêng;Nội thất cơ bản;19/03/2026;1;0;0;0;1;0;Phường Phú Thọ Hòa;Tân Phú;0,114894
1861;54,0;4,4;5;5;Sổ riêng;Không rõ;11-03-26;0;1;1;1;1;0;Phường Tam Bình;Thủ Đức;0,081481
1862;62,0;8,5;5;6;Sổ riêng;Nội thất cơ bản;19/03/2026;1;1;0;0;1;0;Phường Cát Lái;Thủ Đức;0,137097
1863;65,0;6,39;4;3;Sổ riêng;Nội thất cơ bản;19/03/2026;0;1;1;0;1;0;Phường 16;Quận 8;0,098308
1864;96,0;16,5;4;5;Không rõ;Không rõ;19/03/2026;1;0;0;0;1;0;Phường Long Bình;Thủ Đức;0,171875
1865;52,0;4,37;5;5;Sổ riêng;Không rõ;14/03/2026;0;1;1;1;1;0;Phường Tam Bình;Thủ Đức;0,084038
1866;115,0;10,7;3;2;Sổ riêng;Không rõ;10-03-26;1;1;0;0;0;1;Phường Bình Trưng Tây;Thủ Đức;0,093043
1867;112,0;40,0;4;3;Không rõ;Không rõ;19/03/2026;1;0;0;0;1;0;Phường 7;Phú Nhuận;0,357143
1868;52,0;4,9;2;1;Sổ riêng;Không rõ;19/03/2026;0;1;1;1;0;0;Phường Linh Đông;Thủ Đức;0,094231
1869;328,0;40,0;6;4;Sổ riêng;Nội thất cơ bản;19/03/2026;0;0;0;1;1;0;Phường Phú Hữu;Thủ Đức;0,121951
1870;175,0;11,59;4;4;Sổ riêng;Full nội thất;19/03/2026;1;0;1;0;1;0;Phường Tân Chánh Hiệp;Quận 1;0,066229
1871;31,1;4,68;2;1;Sổ riêng;Không rõ;19/03/2026;1;0;1;0;1;0;Phường 4;Quận 1;0,150482
1872;64,0;6,68;4;3;Sổ riêng;Full nội thất;15/03/2026;0;0;1;1;1;0;Thị trấn Nhà Bè;Nhà Bè;0,104375
1873;50,0;7,35;4;5;Sổ riêng;Full nội thất;15/03/2026;0;0;1;1;1;0;Thị trấn Nhà Bè;Nhà Bè;0,147
1874;60,0;6,79;4;5;Sổ riêng;Full nội thất;18/03/2026;0;0;1;1;1;0;Thị trấn Nhà Bè;Nhà Bè;0,113167
1875;70,0;4,3;2;2;Sổ riêng;Full nội thất;19/03/2026;0;1;1;1;0;0;Phường Phước Long A;Thủ Đức;0,061429
1876;50,0;6,1;3;3;Sổ riêng;Full nội thất;17/03/2026;0;0;1;0;1;0;Phường 8;Tân Bình;0,122
1877;25,0;10,5;2;3;Sổ riêng;Full nội thất;19/03/2026;1;0;0;0;1;0;Phường Tân Định;Quận 1;0,42
1878;144,0;16,0;4;4;Sổ riêng;Full nội thất;19/03/2026;0;0;0;0;1;0;Phường Phước Long B;Thủ Đức;0,111111
1879;951,0;61,5;6;5;Sổ riêng;Full nội thất;19/03/2026;0;0;1;1;1;0;Phường Thới An;Quận 1;0,064669
1880;90,0;10,2;3;2;Sổ riêng;Full nội thất;19/03/2026;0;1;1;1;0;0;Phường Cầu Kho;Quận 1;0,113333
1881;81,0;22,0;4;3;Sổ riêng;Không nội thất;19/03/2026;0;0;1;0;1;0;Phường 15;Quận 1;0,271605
1882;105,0;23,5;6;3;Sổ riêng;Không rõ;19/03/2026;0;0;0;0;1;0;Phường An Phú;Thủ Đức;0,22381
1883;145,6;38,0;8;4;Sổ riêng;Không rõ;19/03/2026;1;0;1;0;1;0;Phường 8;Quận 5;0,260989
1884;50,0;5,2;2;2;Sổ riêng;Không rõ;19/03/2026;0;0;1;0;1;0;Phường Bình Trị Đông;Bình Tân;0,104
1885;60,0;8,2;4;4;Sổ riêng;Nội thất cơ bản;10-03-26;0;0;0;1;1;0;Phường Hiệp Bình Phước;Thủ Đức;0,136667
1886;94,0;9,4;4;4;Sổ riêng;Nội thất cơ bản;19/03/2026;0;0;0;0;0;0;Phường Tân Kiểng;Quận 7;0,1
1887;105,0;10,0;4;3;Không rõ;Không rõ;19/03/2026;1;0;0;1;1;0;Xã Vĩnh Lộc B;Bình Chánh;0,095238
1888;200,0;120,0;255;4;Sổ riêng;Không rõ;19/03/2026;1;0;0;0;1;0;Phường 7;Quận 5;0,6
1889;200,0;18,0;4;4;Sổ riêng;Không rõ;19/03/2026;0;1;1;0;1;0;Phường Hòa Thạnh;Tân Phú;0,09
1890;100,0;14,5;3;4;Sổ riêng;Không rõ;19/03/2026;1;0;0;0;1;0;Phường 13;Bình Thạnh;0,145
1891;387,0;400,0;5;5;Sổ riêng;Full nội thất;19/03/2026;1;0;0;0;1;0;Phường Nguyễn Cư Trinh;Quận 1;1,033592
1892;250,0;89,0;5;5;Sổ riêng;Không rõ;19/03/2026;1;0;0;0;1;0;Phường 5;Bình Thạnh;0,356
1893;81,0;9,56;2;2;Sổ riêng;Full nội thất;19/03/2026;0;0;0;0;0;0;Phường An Phú;Thủ Đức;0,118025
1894;205,0;15,5;3;3;Sổ riêng;Không rõ;13/03/2026;0;0;1;1;1;0;Phường An Lạc A;Bình Tân;0,07561
1895;57,0;8,8;4;5;Sổ riêng;Không rõ;15/03/2026;0;0;1;0;1;0;Phường An Lạc A;Bình Tân;0,154386
1896;90,0;21,0;16;16;Sổ riêng;Full nội thất;19/03/2026;1;0;0;0;1;0;Phường 15;Tân Bình;0,233333
1897;234,0;34,0;5;5;Sổ riêng;Không rõ;19/03/2026;0;0;0;0;1;0;Phường Tân Phong;Quận 7;0,145299
1898;240,3;75,0;5;5;Sổ riêng;Không rõ;19/03/2026;1;0;0;0;1;0;Phường Tân Thành;Tân Phú;0,31211
1899;170,0;47,0;16;4;Sổ riêng;Không rõ;19/03/2026;0;0;0;0;1;0;Phường 12;Quận 3;0,276471
1900;77,3;15,3;3;3;Sổ riêng;Không rõ;19/03/2026;0;0;0;0;1;0;Phường Tân Quy;Quận 7;0,19793
1901;85,0;8,8;3;3;Sổ riêng;Không rõ;15/03/2026;1;0;1;1;1;0;Phường An Lạc A;Bình Tân;0,103529
1902;70,0;19,5;2;3;Sổ riêng;Nội thất cơ bản;19/03/2026;0;0;0;0;1;0;Phường Thủ Thiêm;Thủ Đức;0,278571
1903;26,15;6,8;3;4;Sổ riêng;Nội thất cơ bản;19/03/2026;1;1;1;1;1;0;Phường Phạm Ngũ Lão;Quận 1;0,260038
1904;14,0;2,68;2;2;Sổ riêng;Nội thất cơ bản;19/03/2026;0;0;0;0;1;0;Phường 10;Tân Bình;0,191429
1905;55,0;10,0;5;3;Sổ riêng;Full nội thất;12-03-26;1;0;0;0;1;1;Phường 13;Bình Thạnh;0,181818
1906;240,0;23,0;6;7;Sổ riêng;Không rõ;19/03/2026;1;1;1;1;1;0;Phường 4;Quận 8;0,095833
1907;90,0;13,4;4;4;Sổ riêng;Nội thất cơ bản;12-03-26;0;0;0;0;1;1;Phường 24;Bình Thạnh;0,148889
1908;61,0;10,75;7;4;Sổ riêng;Full nội thất;12-03-26;0;0;0;0;1;1;Phường 2;Bình Thạnh;0,17623
1909;130,0;6,1;3;1;Sổ riêng;Nội thất cơ bản;19/03/2026;1;0;1;0;0;1;Phường Hiệp Bình Phước;Thủ Đức;0,046923
1910;67,0;12,3;6;6;Sổ riêng;Full nội thất;12-03-26;0;0;1;0;1;1;Phường 11;Bình Thạnh;0,183582
1911;95,0;12,5;4;3;Không rõ;Full nội thất;12-03-26;0;0;0;1;1;1;Phường 25;Bình Thạnh;0,131579
1912;68,4;12,0;10;10;Sổ riêng;Full nội thất;12-03-26;0;0;0;0;1;1;Phường 25;Bình Thạnh;0,175439
1913;110,0;15,5;4;5;Sổ riêng;Không rõ;19/03/2026;0;0;1;0;1;0;Phường Hiệp Bình Chánh;Thủ Đức;0,140909
1914;67,0;3,2;2;3;Sổ riêng;Full nội thất;19/03/2026;0;0;0;0;1;0;Phường Long Thạnh Mỹ;Thủ Đức;0,047761
1915;102,0;29,26;5;5;Sổ riêng;Nội thất cơ bản;19/03/2026;1;0;0;0;1;0;Phường Bình Trưng Đông;Thủ Đức;0,286863
1916;45,0;6,9;4;3;Sổ riêng;Nội thất cơ bản;13/03/2026;0;0;0;0;1;0;Phường 3;Bình Thạnh;0,153333
1917;49,0;12,6;4;3;Sổ riêng;Nội thất cơ bản;19/03/2026;1;0;0;0;1;0;Phường 11;Phú Nhuận;0,257143
1918;230,0;16,1;4;4;Sổ riêng;Không rõ;19/03/2026;1;0;1;0;0;0;Phường Hiệp Bình Phước;Thủ Đức;0,07
1919;112,0;7,7;3;2;Hợp đồng mua bán;Full nội thất;19/03/2026;0;0;1;1;0;0;Phường Sơn Kỳ;Tân Phú;0,06875
1920;55,0;10,7;4;5;Sổ riêng;Full nội thất;12-03-26;1;0;0;0;1;1;Phường 7;Bình Thạnh;0,194545
1921;152,0;7,6;3;2;Sổ riêng;Không rõ;19/03/2026;1;0;1;1;0;1;Phường Long Bình;Thủ Đức;0,05
1922;73,0;2,9;2;2;Sổ riêng;Không rõ;19/03/2026;0;0;1;1;1;0;Phường 14;Gò Vấp;0,039726
1924;117,0;9,5;3;2;Hợp đồng mua bán;Full nội thất;19/03/2026;0;0;1;1;0;0;Phường Sơn Kỳ;Tân Phú;0,081197
1925;37,0;6,88;2;2;Sổ riêng;Nội thất cơ bản;19/03/2026;1;0;0;0;1;0;Phường Cầu Ông Lãnh;Quận 1;0,185946
1926;63,0;9,99;6;3;Sổ riêng;Full nội thất;12-03-26;0;0;0;0;1;1;Phường 7;Bình Thạnh;0,158571
1927;60,0;7,99;4;4;Sổ riêng;Full nội thất;14/03/2026;1;0;0;0;1;1;Phường 24;Bình Thạnh;0,133167
1928;36,0;4,2;3;3;Sổ riêng;Nội thất cơ bản;19/03/2026;1;1;1;1;1;0;Phường Tân Tạo;Bình Tân;0,116667
1929;95,0;18,5;6;6;Sổ riêng;Full nội thất;14/03/2026;0;1;1;0;1;1;Phường 17;Bình Thạnh;0,194737
1930;72,0;3,05;2;2;Sổ riêng;Nội thất cơ bản;12-03-26;0;0;1;1;1;0;Xã Phú Xuân;Nhà Bè;0,042361
1931;92,0;6,8;3;2;Sổ riêng;Nội thất cơ bản;19/03/2026;0;0;0;0;1;0;Phường Tân Quý;Tân Phú;0,073913
1932;52,0;4,9;2;1;Sổ riêng;Không rõ;19/03/2026;0;1;1;1;0;1;Phường Linh Đông;Thủ Đức;0,094231
1933;60,0;7,42;6;5;Sổ riêng;Full nội thất;19/03/2026;1;1;1;1;1;0;Phường Tân Tạo;Bình Tân;0,123667
1934;72,0;7,1;3;3;Sổ riêng;Full nội thất;19/03/2026;1;0;1;0;1;0;Phường Bình Hưng Hòa;Bình Tân;0,098611
1935;86,0;14,2;4;3;Sổ riêng;Không rõ;19/03/2026;1;0;1;0;1;0;Phường Tân Phú;Quận 7;0,165116
1936;43,0;9,79;2;2;Sổ riêng;Full nội thất;19/03/2026;0;0;0;0;1;0;Phường 25;Bình Thạnh;0,227674
1937;108,0;12,5;3;2;Sổ riêng;Full nội thất;19/03/2026;0;0;1;0;0;0;Phường Cầu Kho;Quận 1;0,115741
1938;84,0;9,5;2;2;Không rõ;Full nội thất;19/03/2026;0;0;0;0;0;0;Phường 1;Quận 4;0,113095
1939;66,0;7,0;1;1;Không rõ;Full nội thất;19/03/2026;0;1;0;0;0;0;Phường Tân Phú;Quận 7;0,106061
1940;95,0;18,9;5;5;Sổ riêng;Không nội thất;19/03/2026;0;0;0;0;1;0;Phường Phú Hữu;Thủ Đức;0,198947
1941;52,0;9,2;6;7;Sổ riêng;Không rõ;19/03/2026;1;0;0;0;1;0;Phường 11;Quận 3;0,176923
1942;104,0;7,0;3;2;Không rõ;Không rõ;19/03/2026;0;0;0;0;0;0;Phường Sơn Kỳ;Tân Phú;0,067308
1943;74,6;23,0;9;10;Sổ riêng;Không rõ;19/03/2026;0;0;1;0;1;0;Phường Bến Thành;Quận 1;0,308311
1944;65,0;9,59;5;3;Sổ riêng;Nội thất cơ bản;19/03/2026;0;1;1;0;1;0;Phường 1;Bình Thạnh;0,147538
1945;108,0;70,0;5;5;Hợp đồng mua bán;Không rõ;19/03/2026;1;0;0;0;0;0;Phường An Phú;Thủ Đức;0,648148
1946;67,0;7,6;4;5;Sổ riêng;Không rõ;15/03/2026;0;1;1;1;1;0;Phường 22;Bình Thạnh;0,113433
1947;81,0;10,6;2;2;Hợp đồng mua bán;Nội thất cao cấp;09-03-26;0;0;0;0;0;0;Phường An Phú;Thủ Đức;0,130864
1948;90,0;13,0;3;3;Sổ riêng;Full nội thất;14/03/2026;1;0;0;0;1;1;Phường 25;Bình Thạnh;0,144444
1949;40,0;5,45;3;3;Sổ riêng;Full nội thất;19/03/2026;1;0;1;0;1;0;Phường 3;Tân Bình;0,13625
1950;97,5;6,72;3;2;Hợp đồng mua bán;Nội thất cơ bản;07-03-26;0;0;0;0;1;0;Phường Long Bình;Thủ Đức;0,068923
1951;78,0;10,68;2;2;Hợp đồng mua bán;Nội thất cơ bản;10-03-26;0;0;0;0;1;0;Phường An Phú;Thủ Đức;0,136923
1952;108,0;13,29;3;2;Hợp đồng mua bán;Nội thất cơ bản;13/03/2026;0;0;0;0;1;0;Phường An Phú;Thủ Đức;0,123056
1953;73,2;4,88;2;2;Hợp đồng mua bán;Nội thất cao cấp;13/03/2026;0;0;0;0;1;0;Phường Long Bình;Thủ Đức;0,066667
1954;78,0;8,5;2;2;Sổ riêng;Full nội thất;19/03/2026;0;0;0;0;0;0;Phường Thảo Điền;Thủ Đức;0,108974
1955;91,51;6,85;3;2;Hợp đồng mua bán;Nội thất cơ bản;13/03/2026;0;0;0;0;0;0;Phường Long Bình;Thủ Đức;0,074855
1956;73,4;4,65;2;2;Hợp đồng mua bán;Full nội thất;13/03/2026;0;0;0;0;0;0;Phường Long Bình;Thủ Đức;0,063351
1957;73,0;5,4;2;2;Hợp đồng mua bán;Nội thất cơ bản;08-03-26;0;0;0;0;1;0;Phường Long Bình;Thủ Đức;0,073973
1958;77,5;9,02;2;2;Hợp đồng mua bán;Nội thất cơ bản;09-03-26;0;0;0;0;1;0;Phường An Phú;Thủ Đức;0,116387
1959;103,0;8,9;3;2;Sổ riêng;Không rõ;19/03/2026;1;0;1;0;0;0;Phường Trường Thọ;Thủ Đức;0,086408
1960;72,0;4,88;2;2;Hợp đồng mua bán;Nội thất cao cấp;08-03-26;0;0;0;0;1;0;Phường Long Bình;Thủ Đức;0,067778
1961;97,51;6,92;3;2;Hợp đồng mua bán;Full nội thất;17/03/2026;0;0;0;0;0;0;Phường Long Bình;Thủ Đức;0,070967
1962;79,1;10,6;2;2;Hợp đồng mua bán;Nội thất cơ bản;10-03-26;0;0;0;0;1;0;Phường An Phú;Thủ Đức;0,134008
1963;97,51;6,0;3;2;Hợp đồng mua bán;Full nội thất;13/03/2026;0;0;0;0;0;0;Phường Long Bình;Thủ Đức;0,061532
1964;88,0;6,3;3;2;Không rõ;Không rõ;19/03/2026;0;1;1;1;1;0;Phường Tân Phong;Quận 7;0,071591
1965;105,0;6,95;3;2;Đang chờ sổ;Full nội thất;19/03/2026;0;0;1;0;0;0;Phường Tân Hưng;Quận 7;0,06619
1966;61,6;11,5;7;6;Sổ riêng;Không rõ;09-03-26;0;0;1;0;1;0;Phường 15;Phú Nhuận;0,186688
1967;130,0;3,6;3;2;Sổ riêng;Không rõ;12-03-26;0;1;0;1;0;0;Xã Tân Nhựt;Bình Chánh;0,027692
1968;75,0;4,75;2;2;Hợp đồng mua bán;Nội thất cơ bản;15/03/2026;0;0;0;0;1;0;Phường Long Bình;Thủ Đức;0,063333
1969;73,0;4,94;2;2;Hợp đồng mua bán;Nội thất cao cấp;10-03-26;0;0;0;0;1;0;Phường Long Bình;Thủ Đức;0,067671
1970;75,0;7,2;3;3;Sổ riêng;Nội thất cơ bản;08-03-26;0;0;1;1;1;0;Xã Phong Phú;Bình Chánh;0,096
1971;50,0;2,5;2;1;Hợp đồng mua bán;Full nội thất;19/03/2026;0;0;0;1;1;0;Phường 10;Quận 6;0,05
1972;21,0;2,48;2;1;Sổ riêng;Không rõ;09-03-26;0;0;1;0;0;0;Phường 10;Quận 8;0,118095
1973;37,0;4,0;2;2;Sổ riêng;Không rõ;19/03/2026;0;0;1;0;1;0;Phường Phước Long B;Thủ Đức;0,108108
1974;97,0;6,78;3;2;Hợp đồng mua bán;Full nội thất;10-03-26;0;0;0;0;0;0;Phường Long Thạnh Mỹ;Thủ Đức;0,069897
1975;300,0;106,0;5;5;Không rõ;Không rõ;19/03/2026;1;0;0;0;1;0;Phường 5;Quận 5;0,353333
1976;70,0;6,7;3;3;Sổ riêng;Không rõ;19/03/2026;0;0;0;0;1;0;Phường 15;Tân Bình;0,095714
1977;95,0;13,49;3;2;Hợp đồng mua bán;Nội thất cơ bản;10-03-26;0;0;0;0;1;0;Phường An Phú;Thủ Đức;0,142
1978;108,0;7,8;4;3;Sổ riêng;Không rõ;19/03/2026;0;0;1;1;1;0;Xã Phong Phú;Bình Chánh;0,072222
1979;77,0;3,8;2;2;Hợp đồng mua bán;Nội thất cơ bản;07-03-26;0;0;1;1;1;0;Phường An Lạc A;Bình Tân;0,049351
1980;73,0;5,02;2;2;Hợp đồng mua bán;Nội thất cao cấp;10-03-26;0;0;0;0;1;0;Phường Long Bình;Thủ Đức;0,068767
1981;47,0;2,0;1;1;Hợp đồng mua bán;Nội thất cơ bản;09-03-26;0;1;1;1;1;0;Phường An Lạc A;Bình Tân;0,042553
1982;95,2;12,71;3;2;Hợp đồng mua bán;Nội thất cơ bản;08-03-26;0;0;0;0;1;0;Phường An Phú;Thủ Đức;0,133508
1983;53,0;2,6;1;1;Hợp đồng mua bán;Không nội thất;08-03-26;0;1;1;0;0;0;Phường An Lạc A;Bình Tân;0,049057
1984;95,6;11,88;3;2;Hợp đồng mua bán;Nội thất cơ bản;08-03-26;0;0;0;0;1;0;Phường An Phú;Thủ Đức;0,124268
1985;77,0;12,0;2;2;Sổ riêng;Nội thất cơ bản;03-04-26;0;0;0;0;1;0;Phường An Phú;Thủ Đức;0,155844
1986;97,6;7,1;3;2;Sổ riêng;Full nội thất;10-03-26;0;0;0;0;0;0;Phường Long Thạnh Mỹ;Thủ Đức;0,072746
1987;98,9;11,97;3;2;Hợp đồng mua bán;Nội thất cơ bản;21/03/2026;0;0;0;0;1;0;Phường An Phú;Thủ Đức;0,121031
1988;53,0;2,7;1;1;Hợp đồng mua bán;Full nội thất;15/03/2026;0;1;1;1;1;0;Phường An Lạc A;Bình Tân;0,050943
1989;79,0;4,8;3;2;Sổ riêng;Nội thất cơ bản;19/03/2026;0;0;1;0;0;0;Phường Phú Thuận;Quận 7;0,060759
1990;130,0;42,5;17;19;Không rõ;Full nội thất;19/03/2026;1;1;0;0;1;0;Phường Bình An;Thủ Đức;0,326923
1991;85,0;8,8;2;2;Sổ riêng;Full nội thất;09-04-26;0;0;0;0;0;0;Phường  Thạnh Mỹ Lợi;Thủ Đức;0,103529
1992;98,0;8,0;2;2;Sổ riêng;Full nội thất;09-04-26;0;0;0;0;0;0;Phường  Thạnh Mỹ Lợi;Thủ Đức;0,081633
1993;50,0;4,55;2;1;Không rõ;Không rõ;19/03/2026;0;0;0;0;0;0;Phường Tam Bình;Thủ Đức;0,091
1994;85,0;9,7;3;3;Sổ riêng;Full nội thất;19/03/2026;0;0;0;0;1;0;Phường Phú Thạnh;Tân Phú;0,114118
1995;77,0;3,85;2;2;Hợp đồng mua bán;Nội thất cao cấp;15/03/2026;0;0;0;0;1;0;Phường An Lạc A;Bình Tân;0,05
1996;64,2;14,3;4;4;Sổ riêng;Không nội thất;05-03-26;1;1;1;1;1;0;Phường An Lạc;Bình Tân;0,222741
1997;198,0;16,83;3;2;Sổ riêng;Không rõ;14/03/2026;1;0;0;0;0;0;Phường Phước Long B;Thủ Đức;0,085
1998;77,0;3,8;2;2;Hợp đồng mua bán;Nội thất cơ bản;09-03-26;0;1;1;1;1;0;Phường An Lạc A;Bình Tân;0,049351
1999;57,0;2,8;1;1;Hợp đồng mua bán;Full nội thất;07-03-26;0;1;1;0;0;0;Phường An Lạc A;Bình Tân;0,049123
2000;80,0;3,95;2;2;Hợp đồng mua bán;Full nội thất;09-03-26;0;1;1;0;1;0;Phường An Lạc A;Bình Tân;0,049375
2001;68,02;3,5;2;2;Hợp đồng mua bán;Không nội thất;19/03/2026;0;1;1;1;1;0;Phường An Lạc A;Bình Tân;0,051455
